agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
FirstFit_3,0,0,113909.13667268919,1.0,0.06994445776423154,0.2433742866180871,0.05464036728049878,4.966183574879227
FirstFit_3,0,1,239896.621457627,1.0,0.07470070573160716,0.4293367372191297,0.09728318547646794,7.322884012539185
FirstFit_3,0,2,323194.67084348685,0.9285714285714286,0.11748351300708165,0.5719433020716134,0.14168674540252738,8.436781609195402
FirstFit_3,0,3,137999.63038581767,1.0,0.08261468690133185,0.4072065160108086,0.09688221399086996,7.063973063973064
FirstFit_3,0,4,305161.60824334185,0.9016393442622951,0.09953671482301664,0.4530571514923144,0.12511053097139851,7.221238938053097
FirstFit_3,0,5,156696.1929165627,1.0,0.0673630431633193,0.28950849877923845,0.06479348792813243,5.361111111111111
FirstFit_3,0,6,163750.15145470353,1.0,0.04371377579342573,0.3998100882411446,0.07675150695113107,7.087774294670846
FirstFit_3,0,7,185621.47600082416,1.0,0.038523843513677186,0.33854986435675954,0.07549139768308041,5.96
FirstFit_3,0,8,407491.84792678425,0.8796992481203008,0.14193222212499718,0.6481059654008487,0.20210552800165577,10.27122641509434
FirstFit_3,0,9,244722.8026869999,0.9936305732484076,0.1325864724505085,0.4792680988670413,0.12695369835668643,8.371584699453551
FirstFit_3,0,10,162729.22427286836,1.0,0.04067500291380146,0.2594792260560465,0.05694092644192608,5.544502617801047
FirstFit_3,0,11,157125.0723711255,0.9923076923076923,0.0794168020108151,0.38231598352855223,0.07619034302776109,6.465587044534413
FirstFit_3,0,12,192292.88289562444,1.0,0.07758593323255204,0.3672447856553977,0.08436327881543487,6.172413793103448
FirstFit_3,0,13,46936.88735371898,1.0,0.03822143054492458,0.14512133678881453,0.02975355248761798,3.1842105263157894
FirstFit_3,0,14,185414.74532317708,1.0,0.027249115400668343,0.22506694438505392,0.049878710956453035,4.8
FirstFit_3,0,15,443142.66458588484,0.9393939393939394,0.18915486849915908,0.631437366603504,0.19436153219621516,9.742296918767506
FirstFit_3,0,16,473681.62902480987,0.7793103448275862,0.13128908088864155,0.7616417904038918,0.2149207238878418,10.813842482100238
FirstFit_3,0,17,156170.31637620667,1.0,0.08751291893566805,0.3807420452900625,0.09319076703563238,6.758196721311475
FirstFit_3,0,18,318305.8201943926,0.9518072289156626,0.13161712721620827,0.6107116799113237,0.17400806361461754,9.59375
FirstFit_3,0,19,427088.91944136727,0.9905660377358491,0.11898133502056314,0.5546611440732859,0.16665374832913368,9.153846153846153
FirstFit_3,1,0,315811.77350391564,0.9411764705882353,0.09614860153210089,0.5939845279932093,0.1543914008255035,9.351851851851851
FirstFit_3,1,1,154722.08445043972,1.0,0.08667337896178534,0.372037849295229,0.08809094165214461,6.9641255605381165
FirstFit_3,1,2,506551.63495024445,0.8994082840236687,0.08030528897506632,0.7045287497352658,0.2304313919825531,10.60036832412523
FirstFit_3,1,3,173486.2105963549,1.0,0.052566642801245476,0.336099548408812,0.06752569864102641,6.036649214659686
FirstFit_3,1,4,497909.9655718449,0.94,0.16527253103076084,0.6718420679469298,0.19885858396165637,9.853372434017595
FirstFit_3,1,5,142232.00605303328,1.0,0.0578011842987867,0.2907227972372633,0.04980643018987488,5.404958677685951
FirstFit_3,1,6,270570.45101999975,1.0,0.0741837757843206,0.41600528987054125,0.09568395901992831,7.652027027027027
FirstFit_3,1,7,261070.95287504367,1.0,0.06714959215085833,0.4778933294918151,0.1150615374962314,8.636574074074074
FirstFit_3,1,8,429057.17361685884,0.7927927927927928,0.1111039081151258,0.7160469526592049,0.19809890392270096,10.542234332425068
FirstFit_3,1,9,429385.56053092284,0.9191919191919192,0.07795228903155416,0.6789032612421249,0.19769375327175642,9.991044776119402
FirstFit_3,1,10,272678.39442295633,0.9728260869565217,0.11389105200399084,0.5803359821947588,0.14682356296751042,9.0896
