agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
Random,0,0,17142.972598999084,0.5847457627118644,0.01024497785510915,0.07210368146801013,0.03443266618872525,3.660436137071651
Random,0,1,19626.33450904211,0.4915254237288136,0.006129902997982724,0.046691351293729144,0.024445495970904767,2.6731391585760518
Random,0,2,20924.29216007717,0.6101694915254238,0.011052734800395404,0.07645831985656525,0.03620703676594199,3.4130434782608696
Random,0,3,26688.191973738958,0.6101694915254238,0.012045353470053954,0.09044853381822793,0.04474691340096251,3.945086705202312
Random,0,4,15180.751415753435,0.559322033898305,0.010825860109663564,0.08121893382634397,0.040947845538084865,3.86144578313253
Random,0,5,23941.92267615161,0.6779661016949152,0.014265275961225187,0.10703852830666835,0.048583229577955085,4.568452380952381
Random,0,6,18812.45235502259,0.6186440677966102,0.013974455007793513,0.10403140023124685,0.04626908259820509,4.590909090909091
Random,0,7,16543.91147195181,0.5338983050847458,0.012681647360487686,0.0948697529507975,0.03995039485557968,4.203703703703703
Random,0,8,18238.71894979562,0.635593220338983,0.010151709028410616,0.07744516892271307,0.04043022160226272,3.7767857142857144
Random,0,9,19205.82642362695,0.5932203389830508,0.011708968109070255,0.08093354396641995,0.038721275200233746,3.8978978978978978
Random,0,10,28720.078403176838,0.6016949152542372,0.00985657276369,0.07414948058623232,0.035372229053524225,3.339339339339339
Random,0,11,18994.983001751556,0.559322033898305,0.013941781349408752,0.10635620311807455,0.050247200807882975,4.6686046511627906
Random,0,12,17625.461721909396,0.5508474576271186,0.009459897362325232,0.07184114201937068,0.03530092862522355,3.4606060606060605
Random,0,13,16712.81146639635,0.5847457627118644,0.011048259221958758,0.07722818922883509,0.03726514019898211,3.6189024390243905
Random,0,14,16335.301428693336,0.5508474576271186,0.01086123693204573,0.08641841292285904,0.041799817266086677,4.109510086455331
Random,0,15,24055.95982872281,0.5847457627118644,0.009999876497820182,0.07679994514081102,0.03867577675590279,3.8502994011976046
Random,0,16,19852.813529724684,0.5677966101694916,0.013297641934149364,0.09977462267995961,0.04606791257558493,4.420245398773006
Random,0,17,28519.864427308465,0.576271186440678,0.01099285911830306,0.08194034669358598,0.04106438881958021,3.927899686520376
Random,0,18,21320.093763714136,0.576271186440678,0.01015757928127432,0.06867267164608251,0.034672032605191694,3.2275449101796405
Random,0,19,18061.471377490278,0.5677966101694916,0.013356354234950055,0.10508756774669985,0.048886796563492395,4.615625
Random,1,0,56611.92638572796,0.5740740740740741,0.013177605746506138,0.05511097691230861,0.03081704624935738,3.102189781021898
Random,1,1,60213.9112604974,0.5,0.014019144615321813,0.059986125513514926,0.03574980464578827,3.256
Random,1,2,60799.119028610476,0.5555555555555556,0.012549514104557756,0.05804892345148887,0.03295106821580818,3.111888111888112
Random,1,3,38166.41504365147,0.5740740740740741,0.013877316413507942,0.06593113046475814,0.03000272412103956,3.3496503496503496
Random,1,4,42808.23106940824,0.4444444444444444,0.012448006373979163,0.054254852414818804,0.028984006101863857,2.926470588235294
Random,1,5,41011.31155215077,0.46296296296296297,0.012244969695143697,0.051919853163142286,0.02759804775454973,2.7559055118110236
Random,1,6,51548.146176769456,0.5,0.013449099981656694,0.05626692088175768,0.02839088308700945,3.05
Random,1,7,60406.27151350372,0.6111111111111112,0.015548133820535092,0.07248027101710698,0.040603057570185744,3.6866666666666665
Random,1,8,48163.532194631596,0.5370370370370371,0.014917382522570747,0.06617863521476136,0.033917978043646144,3.451388888888889
Random,1,9,57895.91727264801,0.5740740740740741,0.015983257489110066,0.062404977475403946,0.033281586679498563,3.145038167938931
Random,1,10,63196.652854674176,0.5,0.014797886555832042,0.05885852734246768,0.031241836479537134,3.1259259259259258
Random,1,11,46578.369738784924,0.5185185185185185,0.015433022392845242,0.06966259374519597,0.03271418246952299,3.771812080536913
Random,1,12,44581.23583532037,0.5555555555555556,0.016001173725064082,0.07477406007072676,0.03997878947361502,3.827338129496403
Random,1,13,54705.96817350585,0.6111111111111112,0.0194905375011376,0.0833819460467774,0.039315328980857045,3.836734693877551
Random,1,14,46310.56668514944,0.42592592592592593,0.012444106578779628,0.05465042660032743,0.03245662050122753,2.933333333333333
Random,1,15,58351.13323228491,0.5925925925925926,0.017934570221635,0.07223301156800326,0.04184113905249986,3.81021897810219
Random,1,16,41415.50274071909,0.5185185185185185,0.012756640622332891,0.05434845904996157,0.02456510515097429,2.8142857142857145
Random,1,17,47379.066610872025,0.5185185185185185,0.012935165992246934,0.05531929339324721,0.030249731746213458,3.140740740740741
Random,1,18,49921.509511460485,0.5185185185185185,0.012795624706412436,0.05609729931358666,0.027388225681201278,3.0676691729323307
Random,1,19,57149.86938931089,0.6296296296296297,0.018745660726683645,0.08121866391445867,0.041574148852866054,3.6333333333333333
Random,2,0,11946.71393649148,0.47058823529411764,0.011985562681544971,0.04425174040169116,0.014506220575910788,2.1123595505617976
Random,2,1,14994.525152480186,0.5882352941176471,0.016051206604767464,0.05776177993416603,0.022122127547908002,2.5096153846153846
Random,2,2,12189.258798363811,0.5588235294117647,0.013280131168508664,0.05075939646309113,0.01702096854232737,2.202127659574468
Random,2,3,9560.942752282454,0.5,0.014772430298612155,0.053982545121962974,0.02094396026245277,2.4516129032258065
Random,2,4,9306.857588642251,0.4117647058823529,0.012601497416429401,0.04836242016314427,0.015636127932125283,2.4352941176470586
Random,2,5,10063.532454954666,0.5,0.012509507494934945,0.046442840797350955,0.01837156133947522,2.0210526315789474
Random,2,6,14476.73929463386,0.5882352941176471,0.014357158723000396,0.05329455802280985,0.01959001762216575,2.4
Random,2,7,8242.131576617345,0.4117647058823529,0.01239288612574447,0.04869191119393873,0.014335153239129499,2.21505376344086
Random,2,8,14751.810452372187,0.5882352941176471,0.01495375425634327,0.05371439275093023,0.020684632322843424,2.223404255319149
Random,2,9,12561.515275920325,0.47058823529411764,0.0117168734694834,0.04312130311505529,0.02045491273315706,1.9146341463414633
Random,2,10,14315.197663481533,0.5,0.013676861164041407,0.050883751208895336,0.01856162933281668,2.3333333333333335
Random,2,11,12749.772651364856,0.47058823529411764,0.01403432458082885,0.04887859245288208,0.01866113053762493,2.419753086419753
Random,2,12,14786.512526471877,0.6764705882352942,0.022464441951945916,0.08455959865011842,0.025715688200304034,3.17
Random,2,13,11967.173156303867,0.5,0.012271472147038944,0.04564832663168944,0.02023827588357856,1.9390243902439024
Random,2,14,18478.01426097541,0.7058823529411765,0.018327732446741834,0.06747448086953348,0.026078629288392465,2.869158878504673
Random,2,15,12370.746198627236,0.6176470588235294,0.01697774965728145,0.06387144880241173,0.02022526424289757,2.81
Random,2,16,12142.680179061532,0.5294117647058824,0.016640303701360326,0.06311864541859262,0.019882406667293896,2.8020833333333335
Random,2,17,13861.47861713768,0.6470588235294118,0.019742010244233617,0.07399362951073211,0.02184021182849846,2.8222222222222224
Random,2,18,11843.90037372632,0.4411764705882353,0.014166472565713314,0.049895619358274045,0.01883070292878611,2.25
Random,2,19,10009.049883197962,0.47058823529411764,0.012937852491027508,0.050016614318355065,0.017078150887040535,2.0681818181818183
Random,3,0,77201.64637097032,0.55,0.02754511023661624,0.15084476243174844,0.07799367729617326,6.948837209302326
Random,3,1,103660.87335688961,0.5,0.02360113084567371,0.12434372899888538,0.06065428409697185,5.542105263157895
Random,3,2,84448.35127795309,0.5125,0.028624211349405786,0.14766613342093224,0.07116090852938196,6.065727699530516
Random,3,3,111436.28826309998,0.5375,0.02513951895522802,0.1320724218179544,0.06665208722624723,5.613526570048309
Random,3,4,125235.3342521066,0.575,0.03175455450458425,0.1703314240590164,0.09470407784708863,7.324200913242009
Random,3,5,98517.74967581594,0.4875,0.02172202359472147,0.1151900259690339,0.06600802146204798,5.455
Random,3,6,119325.93603202829,0.6375,0.030513680636947826,0.1795654698343006,0.08149616286929745,6.399122807017544
Random,3,7,111542.0633526316,0.5,0.029439006969607034,0.15703743476530263,0.0764738807782747,6.317948717948718
Random,3,8,126253.95710817083,0.475,0.029243217635328573,0.1709446343877993,0.08956184455862186,6.574257425742574
Random,3,9,97525.87874583622,0.5,0.025835706000210894,0.1434344336951002,0.07800067484806415,6.087557603686636
Random,3,10,92101.96057751375,0.4375,0.023207179606720058,0.13598921254204413,0.07148675267080751,6.178010471204188
Random,3,11,93857.62674558509,0.525,0.025320732347819126,0.1508814601827199,0.07918187146361383,6.096618357487923
Random,3,12,108873.28945307907,0.4375,0.027850137840647198,0.16414721940209204,0.07026914534498607,6.6477272727272725
Random,3,13,102019.28940985471,0.5,0.025744381661063583,0.15701460290486077,0.07838294955256389,6.885714285714286
Random,3,14,113457.68636557698,0.5875,0.03196802465230176,0.1751371081875363,0.07867020731760836,6.658986175115207
Random,3,15,80596.58394923314,0.425,0.02507197888406367,0.13288271406060229,0.07086624568702204,6.472361809045226
Random,3,16,113787.16250560834,0.5125,0.025447225322772216,0.15024683331359062,0.08083828166042274,5.915492957746479
Random,3,17,94439.09105509214,0.5375,0.029056961911981496,0.17097169168144094,0.08348485966642696,6.821596244131455
Random,3,18,119013.68430236576,0.6625,0.03558037495013967,0.19247684582865648,0.10957641583756399,7.0995670995671
Random,3,19,123435.67002758534,0.6,0.032358445659276126,0.17471098732688636,0.08575206829339425,6.786046511627907
Random,4,0,25600.499262882295,0.5375,0.01670892167303091,0.08156521865777604,0.03686337560290273,3.705607476635514
Random,4,1,18978.54820612398,0.45,0.01547544270678117,0.06803475713563384,0.03337169231474229,3.4134615384615383
Random,4,2,27959.02502032685,0.5375,0.015326515464921033,0.07153531524441416,0.029717830271660202,3.5645933014354068
Random,4,3,35774.57448888343,0.575,0.01816722730293804,0.08776987790982503,0.04042532820537046,4.027397260273973
Random,4,4,29892.57665369723,0.6,0.02004557269836734,0.09883785448874559,0.04314352941841719,4.5504587155963305
Random,4,5,19963.019047803926,0.5125,0.015970709371172072,0.07742889509305477,0.033548464458014904,3.6745283018867925
Random,4,6,24079.82456582909,0.55,0.017694537308583506,0.08508218808253769,0.03835814403088593,3.9506726457399104
Random,4,7,30920.08398270594,0.5625,0.016623590576184993,0.07797892655842086,0.032547848451501236,3.755868544600939
Random,4,8,26846.99247209747,0.525,0.015370967689332294,0.0708472619109405,0.03238025180018891,3.7025641025641027
Random,4,9,34532.42125855092,0.625,0.01935065511372339,0.08726161549659454,0.0410996909629153,4.117117117117117
Random,4,10,21949.803073697378,0.5125,0.017438596727402448,0.08392114413812175,0.039791702993512375,3.9237288135593222
Random,4,11,28817.818427287908,0.525,0.01737172952769282,0.08020872532146635,0.03724960698792457,3.6175115207373274
Random,4,12,38389.966681302896,0.625,0.018048845854705772,0.08501732844537349,0.03680099263888032,3.9478260869565216
Random,4,13,30804.04049120485,0.475,0.017455762408927333,0.08249328947975682,0.03735054242518948,4.005050505050505
Random,4,14,33049.56028430967,0.5125,0.016595421726927472,0.0857224200304097,0.037067004299098254,3.9215686274509802
Random,4,15,29089.156924273237,0.5625,0.01742299084912182,0.08202106580224175,0.03280115730057851,3.7557603686635943
Random,4,16,30194.511258165574,0.525,0.017868636071081818,0.08640257030471812,0.03905943106694673,4.279411764705882
Random,4,17,33709.924563890105,0.6,0.016876185422276375,0.07951372562418636,0.03472211900683071,3.7844036697247705
Random,4,18,30678.9395343931,0.5125,0.013890036045835712,0.06280782486010938,0.029361008148298052,3.2598039215686274
Random,4,19,26743.317238612533,0.4125,0.014558440610322926,0.06736269707156614,0.03042262014917245,3.229665071770335
Random,5,0,213904.68802463773,0.329608938547486,0.06065243869736119,0.324419766995663,0.16150290114236565,9.176470588235293
Random,5,1,177888.3128633755,0.3463687150837989,0.0608878523380876,0.31301608624926724,0.15558743750491982,9.517326732673267
Random,5,2,262823.5550929016,0.37988826815642457,0.05808898358381326,0.3393585235140593,0.1792987270973615,9.622596153846153
Random,5,3,178913.40488383456,0.36312849162011174,0.07130825859076412,0.38382880229922617,0.2099412960245046,10.406862745098039
Random,5,4,257996.64249344484,0.3687150837988827,0.06559105768216802,0.3623760589782662,0.21377024868918,9.33248730964467
Random,5,5,171248.41734898818,0.29608938547486036,0.06845250818676947,0.33654513725115864,0.15512709656982507,9.235294117647058
Random,5,6,232613.91621191194,0.3240223463687151,0.07176080273201434,0.39017129472619866,0.20191100218560512,9.900255754475703
Random,5,7,189655.27219992853,0.3463687150837989,0.05837809855525775,0.3265046493432521,0.15269473119932928,8.781862745098039
Random,5,8,187010.75054075182,0.33519553072625696,0.05435709737745223,0.31985619423305417,0.14986309737844442,9.353535353535353
Random,5,9,157989.3353585074,0.30726256983240224,0.05708713766510056,0.33500721269963707,0.15478564908249448,8.887179487179488
Random,5,10,160782.18303329172,0.3575418994413408,0.05164015693846068,0.31977075872690713,0.15197827223069577,9.0
Random,5,11,175726.9942705183,0.3240223463687151,0.07733324317601667,0.3896541627877152,0.1824007785089897,10.104060913705585
Random,5,12,226901.35758805438,0.33519553072625696,0.052779390887725514,0.30833647764745675,0.1613581794932468,9.197222222222223
Random,5,13,220788.7973222369,0.35195530726256985,0.06939348245919892,0.36389650410404084,0.18937174710466795,9.509708737864077
Random,5,14,184059.5064931088,0.35195530726256985,0.0610992736227677,0.30760651277159023,0.1685364743794215,9.902200488997556
Random,5,15,201943.62836953823,0.3463687150837989,0.05576500568092173,0.31162908442706816,0.17156931410138263,9.3975
Random,5,16,193077.07595533525,0.33519553072625696,0.05891900245236258,0.32971768111068567,0.1631600817732078,9.306122448979592
Random,5,17,229881.1653086977,0.39664804469273746,0.06340092357175554,0.34959253836293236,0.1795003357328412,9.852941176470589
Random,5,18,185897.54410597915,0.3687150837988827,0.07849603416965607,0.39702463152246564,0.18674259474932847,9.987179487179487
Random,5,19,195301.6865820871,0.33519553072625696,0.06265868477194007,0.33937801802203044,0.1785121685175076,10.005115089514067
Random,6,0,186376.99552000544,0.42168674698795183,0.047953329621650366,0.27545157181443547,0.1392135658041608,8.321052631578947
Random,6,1,141167.13550688358,0.4457831325301205,0.04502543398462414,0.25769729782419504,0.12290076826692695,8.728232189973614
Random,6,2,123682.16769489099,0.4036144578313253,0.04485493778340194,0.2522436510890968,0.12327175730978344,8.56103896103896
Random,6,3,130957.5986212677,0.4578313253012048,0.038197579065319266,0.22691841899853973,0.10999649987172931,8.57027027027027
Random,6,4,154617.33064606506,0.45180722891566266,0.04317209904338568,0.2558405536432284,0.12790718426706477,8.916455696202531
Random,6,5,181385.66179464405,0.46987951807228917,0.04451926244892003,0.2633123108173445,0.12980626984117824,8.354005167958656
Random,6,6,188332.32794189686,0.4397590361445783,0.052001158296634375,0.29094840560209667,0.1459752522747759,8.91820580474934
Random,6,7,148127.7690978453,0.3795180722891566,0.044091730850628445,0.252498721288678,0.12118988217381968,8.306629834254144
Random,6,8,161436.2625276019,0.4397590361445783,0.04337933499591203,0.24423048622980853,0.12278079043463376,8.259067357512953
Random,6,9,137178.92195277478,0.35542168674698793,0.03825266265949595,0.2099500382098751,0.10595180070750611,7.35243553008596
Random,6,10,120549.56187788118,0.43373493975903615,0.04169282040208965,0.23285121537182918,0.10630744223764522,7.928759894459103
Random,6,11,148513.95541534698,0.4397590361445783,0.043368084148975264,0.2435731715976068,0.12872250873383093,8.48223350253807
Random,6,12,186399.07005988527,0.5180722891566265,0.04405213295492924,0.2741636773502421,0.149512294789903,8.836144578313252
Random,6,13,117780.44825269688,0.35542168674698793,0.04098822382480354,0.24502033617694693,0.1109084330135409,8.679389312977099
Random,6,14,175987.76033719425,0.41566265060240964,0.04897338755102203,0.2887926076644584,0.13167201299934897,8.481081081081081
Random,6,15,212585.3370430802,0.4819277108433735,0.05570225022701079,0.3086474097319065,0.1559975655648986,9.213930348258707
Random,6,16,182998.09678307327,0.45180722891566266,0.048172480085122295,0.2915139516641778,0.15302566442078208,9.404761904761905
Random,6,17,186848.01371489858,0.5,0.0469973225515236,0.26354592972459895,0.13416746626079853,8.413625304136254
Random,6,18,193438.08150763196,0.4578313253012048,0.0459811570219669,0.26805846531603983,0.1425831041152988,8.281862745098039
Random,6,19,171213.74549580936,0.42771084337349397,0.040173775644680276,0.24199890672968152,0.12319668789468298,8.434666666666667
Random,7,0,89182.24163053454,0.5098039215686274,0.02673903459456304,0.17912048995223068,0.07823011588891314,7.588
Random,7,1,90361.28905191543,0.5,0.026900596926683312,0.19435724085058606,0.0852360130802759,7.96734693877551
Random,7,2,58720.575141349866,0.4411764705882353,0.028480755452132123,0.19073676464424072,0.08216329801264864,7.318897637795276
Random,7,3,113111.97365232794,0.5980392156862745,0.0269220962570885,0.22969582447197853,0.09957748559841693,7.661710037174721
Random,7,4,120942.96303488486,0.5098039215686274,0.02886806010265617,0.23615491817388232,0.1143363117587394,7.93050193050193
Random,7,5,112102.585884165,0.5196078431372549,0.025236933362908328,0.18582717070158603,0.09022451040372233,7.6679389312977095
Random,7,6,70447.8913623161,0.5,0.022594316646831685,0.163167965271231,0.0670828374327333,6.8142292490118574
Random,7,7,82957.97629618118,0.45098039215686275,0.018775638797432215,0.14034567364603676,0.06361491268963931,6.05327868852459
Random,7,8,84538.52710700082,0.43137254901960786,0.021137825582621533,0.17919478667829808,0.08669606355259385,6.800829875518672
Random,7,9,81723.22367371971,0.4803921568627451,0.02332183059582727,0.1829634235977849,0.07638194569206638,7.458015267175573
Random,7,10,89263.12745578638,0.4215686274509804,0.024506306594888824,0.18213069506245488,0.08439719245794718,7.479166666666667
Random,7,11,89480.48246531625,0.4215686274509804,0.027046526778312277,0.18974308236398546,0.09213714134365358,6.578740157480315
Random,7,12,73705.8578621402,0.46078431372549017,0.020961942546379356,0.14689567585901464,0.06914402313530955,6.24031007751938
Random,7,13,78098.35895269437,0.5294117647058824,0.02164934949383109,0.16940748014689458,0.07883810969225309,6.739299610894942
Random,7,14,95891.5593471813,0.5490196078431373,0.02780440804818229,0.20728133837061363,0.09424960226994326,7.8522727272727275
Random,7,15,92724.92304710177,0.5196078431372549,0.025823152207207867,0.18813935640260102,0.08550339704844094,7.280632411067193
Random,7,16,88198.64149663891,0.5490196078431373,0.027828033157667787,0.2371006744618203,0.10280183016237489,8.365248226950355
Random,7,17,84016.79554411776,0.5392156862745098,0.0269507043564025,0.2257440633504016,0.08994610823246126,7.706959706959707
Random,7,18,100017.70143485576,0.5588235294117647,0.027580237923274815,0.20653819398711293,0.09979495574875934,8.18796992481203
Random,7,19,91925.51700914027,0.49019607843137253,0.0197387741958162,0.16449290634716246,0.07951825542588602,6.857142857142857
Random,8,0,64472.312851852614,0.5256410256410257,0.03164167151898056,0.14824097329598065,0.07707611071393512,5.418269230769231
Random,8,1,72801.16196599678,0.4358974358974359,0.027038412227975813,0.12770963601716534,0.06953787617810764,5.2460732984293195
Random,8,2,80686.16161507681,0.46153846153846156,0.03086981562147648,0.14313632246688615,0.07686781902497848,6.030612244897959
Random,8,3,77904.4331554211,0.5128205128205128,0.04147709297978204,0.19309648068720472,0.0897947266902855,6.8099547511312215
Random,8,4,60363.475471339814,0.5,0.02636134297001112,0.12395857494324623,0.05419223742950412,5.025510204081633
Random,8,5,58033.72874436028,0.46153846153846156,0.02361446383962175,0.1072006561169545,0.05781105853342078,4.720588235294118
Random,8,6,59421.324163203,0.5256410256410257,0.028097290091927407,0.13408758589665792,0.05857785839324928,5.4106280193236715
Random,8,7,49594.82003798941,0.4358974358974359,0.029555036187205022,0.14042690544424088,0.06199232091905408,5.527918781725888
Random,8,8,57944.538530127254,0.4358974358974359,0.028068804237924207,0.13293559411357594,0.06373171496893858,5.224390243902439
Random,8,9,50124.238420200716,0.46153846153846156,0.027494463777285677,0.12355884248064848,0.0612641973925752,5.159203980099503
Random,8,10,59800.33541115108,0.44871794871794873,0.029694807014898215,0.13535382241054986,0.08158290664240478,5.505154639175258
Random,8,11,67571.3221883793,0.5256410256410257,0.026688907422852383,0.1223845201234356,0.06886841278363375,5.527638190954774
Random,8,12,52828.270425243834,0.48717948717948717,0.03143840923574907,0.14575406928021375,0.06589717818382265,5.846153846153846
Random,8,13,52491.77500016172,0.41025641025641024,0.02819538243110862,0.13038342211517331,0.07683653077543927,4.711538461538462
Random,8,14,64351.60410120793,0.46153846153846156,0.030246484358063135,0.13754275226148663,0.07489375730487126,5.47979797979798
Random,8,15,88443.89508204033,0.5256410256410257,0.04170011716284682,0.19000642246022081,0.09749683875244053,7.0
Random,8,16,66389.99487681268,0.4230769230769231,0.03747522419280907,0.1688024983992148,0.09229117840645401,6.253807106598985
Random,8,17,75846.54600304777,0.5128205128205128,0.03827902562480226,0.17583456541448875,0.09282811094266394,6.257009345794392
Random,8,18,54214.509215723905,0.46153846153846156,0.026378704390102627,0.12532085855542083,0.058184539722168485,5.138613861386139
Random,8,19,69546.59136184376,0.4230769230769231,0.02841336100801691,0.13267464793771355,0.06829745929478627,5.383495145631068
Random,9,0,44612.188338526365,0.4057971014492754,0.030477676049794154,0.17123033004327562,0.07088490807066962,6.1875
Random,9,1,75299.55506243104,0.463768115942029,0.03651362175249023,0.20340773156054132,0.0918679161052408,6.836477987421383
